type	AUC	LogCo
TSC	0.68401431955211	-1.8
TSC	0.684119914861194	-1.7
TSC	0.684293836546743	-1.6
TSC	0.684453264758497	-1.5
TSC	0.684591988007686	-1.4
TSC	0.684801108129596	-1.3
TSC	0.68507441363546	-1.2
TSC	0.685289745246141	-1.1
TSC	0.685552698270722	-1
TSC	0.685861202212946	-0.9
TSC	0.686171776651428	-0.8
TSC	0.686414024713443	-0.7
TSC	0.686797066520904	-0.6
TSC	0.68720081329093	-0.5
TSC	0.687728789836348	-0.4
TSC	0.688223638441662	-0.3
TSC	0.688761967468363	-0.2
TSC	0.689374834360299	-0.1
TSC	0.690016688199828	0
TSC	0.690737220897105	0.1
TSC	0.69153022096336	0.2
TSC	0.692464014775061	0.3
TSC	0.693484769429537	0.4
TSC	0.694358518849798	0.5
TSC	0.695497291790896	0.6
TSC	0.696795492943749	0.7
TSC	0.698162020473067	0.8
TSC	0.699514054528589	0.9
TSC	0.701100054661101	1
TSC	0.702888963426754	1.1
TSC	0.704595052342145	1.2
TSC	0.706431582521699	1.3
TSC	0.708475162326906	1.4
TSC	0.710570504538528	1.5
TSC	0.712734173126615	1.6
TSC	0.714616254223812	1.7
TSC	0.716533533757371	1.8
TSC	0.718376275425694	1.9
TSC	0.720030601934672	2
TSC	0.721556557675744	2.1
TSC	0.722782291459617	2.2
TSC	0.724123973033857	2.3
TSC	0.724919043596369	2.4
TSC	0.725492571059432	2.5
TSC	0.725567108924667	2.6
TSC	0.72528966242629	2.7
TSC	0.725016356920427	2.8
TSC	0.724262696283045	2.9
TSC	0.723374453388988	3
TSC	0.722513126946266	3.1
TSC	0.721643518518518	3.2
TSC	0.720575142450142	3.3
TSC	0.719407382561452	3.4
TSC	0.718525351156165	3.5
TSC	0.717519089975485	3.6
TSC	0.716440361425827	3.7
TSC	0.715750886172398	3.8
TSC	0.715086256874047	3.9
TSC	0.714641100178891	4
TSC	0.714937181143576	4.1
TSC	0.715407183793812	4.2
TSC	0.715798507586298	4.3
TSC	0.716046967137083	4.4
TSC	0.717007677400119	4.5
TSC	0.716015909693235	4.6
TSC	0.717862792354071	4.7
TSC	0.719535753329358	4.8
TSC	0.723430356787915	4.9
TSC	0.727119981117074	5
TSC	0.730948328695422	5.1
TSC	0.734718702378586	5.2
TSC	0.736288138541045	5.3
TSC	0.737658807062877	5.4
TSC	0.733138913734844	5.5
TSC	0.737700216988008	5.6
TSC	0.740232433909759	5.7
TSC	0.741141381766382	5.8
TSC	0.743888930298814	5.9
TSC	0.747920186510303	6
TSC	0.749535173590406	6.1
TSC	0.742590729145962	6.2
TSC	0.747611682568078	6.3
TSC	0.723165333267077	6.4
TSC	0.721374354005168	6.5
TSC	0.717670236202213	6.6
TSC	0.724252343801762	6.7
TSC	0.701760542966938	6.8
TSC	0.705083689458689	6.9
TSC	0.708930671503346	7
TSC	0.698934315576757	7.1
TSC	0.701998650036441	7.2
TSC	0.703599143642748	7.3
TSC	0.706462639965547	7.4
TSC	0.702412749287749	7.5
TSC	0.705475013251176	7.6
TSC	0.701551422845027	7.7
TSC	0.691159602133439	7.8
TSC	0.694161821705426	7.9
TSC	0.686908873318757	8
TSC	0.684691371828	8.1
TSC	0.684293836546744	8.2
TSC	0.675318235274631	8.3
TSC	0.656008787186113	8.4
TSC	0.645685292850991	8.5
TSC	0.648708217385543	8.6
TSC	0.650803559597164	8.7
TSC	0.653451724309282	8.8
TSC	0.658694220830849	8.9
TSC	0.641579498774266	9
TSC	0.622232781753131	9.1
TSC	0.625458614920824	9.2
TSC	0.628750703968727	9.3
TSC	0.6320490045054	9.4
TSC	0.635239639236732	9.5
TSC	0.636655858676207	9.6
TSC	0.627498053733519	9.7
TSC	0.63109657622739	9.8
TSC	0.632543853110713	9.9
TSC	0.631788121977075	10
